PUN NAZIV,SKRACENI NAZIV,ADRESA,MATICNI BROJ,PORESKI BROJ,TEKUCI RACUN,PRAVNI OBLIK,DATUM OSNIVANJA,DELATNOST,Telefon,Web,E-mail,OPIS DELATNOSTI,Folder,Pozicija 1,Pozicija 1 Ime,Pozicija 1 Linkedin,Pozicija 1 Telefon,Pozicija 1 Mail,Pozicija 2,Pozicija 2 Ime,Pozicija 2 Linkedin,Pozicija 2 Telefon,Pozicija 2 Mail,Pozicija 3,Pozicija 3 Ime,Pozicija 3 Linkedin,Pozicija 3 Telefon,Pozicija 3 Mail,Pozicija 4,Pozicija 4 Ime,Pozicija 4 Linkedin,Pozicija 4 Telefon,Pozicija 4 Mail,Beleske
DRAGAN LUKIĆ PR MAŠINSKA OBRADA METALA DLPRECISION KAĆ,DRAGAN LUKIĆ PR MAŠINSKA OBRADA METALA DLPRECISION KAĆ,ATAR 92 21241 Kać,62614633,107258534,340-0000013060212-19,Preduzetnik,26.9.2011.,Mašinska obrada metala,+ 381 62 778 568,www.dlprecision.com , dlprecision.ns@gmail.com,USLUGE:– Proizvodnja mašinskih delova (delovi od konstrukcionog ili nerđajućeg čelika različiti pneumatski aktuatori tankozidni delovi od aluminijuma za avio i odbrambenu industriju)– Izrada specijalnih mašina– Mašine za sečenje cevi,MASINSKA OBRADA METALA,Vlasnik,Dragan Lukić,,+ 381 62 778 568,draganlukic@dlprecision.com,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,24-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PRUŽANJE USLUGA OPŠTIH MAŠINSKIH RADOVA DM MONT 2010 DOO KAČAREVO,DM MONT 2010 DOO KAČAREVO,VINOGRADSKA 1K 26212 Kačarevo,20651512,106648267,170-0030022096000-15,Društvo sa ograničenom odgovornošću,27.5.2010.,Mašinska obrada metala,+381 13 333377,, office@dm-mont.rs,DM-MONT d.o.o je preduzeće za pružanje usluga iz sledećih oblasti: mašinske montaže kod izgradnje remonta održavanja postrojenja revitalizacija energetskih i industrijskih postrojenja.USLUGE:Inženjering i konsaltingIzgradnja i montaža cevovodaIzgradnja i montaža čeličnih konstrukcijaIznajmljivanje mehanizacijeIzrada rezervoara i posuda pod pritiskomRevitalizacija energetskih postrojenja,MASINSKA OBRADA METALA,Generalni direktor,Siniša Stojanovski,,+381 63 804 11 18,direktor@dm-mont.rs,Tehnički direktor,Nebojša Miličević,,+381 66 486 991,nebojsa.milicevic@dm-mont.rs,Direktor kvaliteta,,,,,Project manager,Boris Stojčevski,,+381 69 564 49 41,boris.stojcevski@dm-mont.rs,07-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU PROMET USLUGE KONSALTING I INŽENJERING DINAMIC LINE TRBUŠANI,DOO DINAMIC LINE TRBUŠANI,GLAVNI PUT 16 32205 TRBUŠANI ČAČAK,06987877,101108233,170-0030032062013-92,Društvo sa ograničenom odgovornošću,14.2.1994.,Proizvodnja mašina za obradu metala,+381 32 392 304 +381 63 1872272,, ; dinamiclinecacak@gmail.com,Kompanija se bavi proizvodnjom limarskih mašina.Proizvodni program zasnovan je na osnovnoj platformi takozvanog APIPONG-a odnosno mašina za savijanje lima koja je modularna do 12 metara i u više varijacija:– Mehanička savijačica lima– Hidraulična savijačica lima– NC savijačica lima– CNC savijačica lima,MASINSKA OBRADA METALA,Vlasnik,Vesna Cvetković,https://www.linkedin.com/in/vesna-cvetkovic-89b7597a,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,01-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DOO TECHNIQUE ENG. INC. ČAČAK,DOO TECHNIQUE ENG. INC.,DRAGOŠA ADžEMOVIĆA 2B 32102 ČAČAK,20437448,105679676,265-3020310003642-87,Društvo sa ograničenom odgovornošću,3.7.2008.,Mašinska obrada metala,+381 32 351 506,dpavlovic@techniqueeng.com,,,MASINSKA OBRADA METALA,Direktor,Dejan Pavlović,,,dpavlovic@techniqueeng.com,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,08-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Marko Stijović preduzetnik Mašinska obrada metala EAST MOLD Desimirovac,Marko Stijović preduzetnik Mašinska obrada metala EAST MOLD Desimirovac,34321 DESIMIROVAC Kragujevac,65630494,111738723,160-6000000007764-37,Preduzetnik,12.11.2019.,Mašinska obrada metala,+381 64 14 14 724,www. eastmold.rs , office@eastmold.rs,Podršku dizajnu/inženjeringu CNC gloodanje CNC struganje CNC urezivanje navoja brušenje zavarivanje...USLUGE:projektovanje i izrada alata​ (razvoj projektovanje i izrada alata vrše se pomoću razvijenih CAD/CAM programa na CNC mašinama)industrijski dizajn nameštaja​konstrukcije (projektovanje i izrada svih vrsta konstrukcija: garaže tende nadstrešnice stepeništa ograde kapije…).mašinska obrada (Mašinska obrada: struganje glodanje bušenje brušenje sečenje…),MASINSKA OBRADA METALA,Vlasnik,Marko Stijović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,22-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ELEKTROTEHNIČKO PREDUZEĆE ELING AD LIPNIČKI ŠOR,ELING,Georgija Jakšića 14 15341 LIPNIČKI ŠOR Loznica,07609728,101190758,170-0030013114001-91,Akcionarsko društvo,11.1.1991.,Proizvodnja mernih istraživačkih i navigacionih instrumenata i aparata,00 381 15 812 31400 381 15 812 200,www. eling.rs , info@eling.rs,Eling se bavi proizvodnjom savremenog sistema za livenje aluminijumskih trupaca u elektromagnetnom polju livenjem i presovanjem aluminijumskih šipki i profila kao i mašinska obrada metalnih delova namenjenih za specifične industriske aplikacije.PROIZVODNJA:indukciono grejanjepresovanje aluminijumaoprema za livenje Al trupacamašinska obrada (mašinsku obradu metala struganjem mašinsku obradu metala glodanjem mašinsku obradu metala brušenjem mašinsku obradu metala dubokog bušenja mašinsku obradu metala tehnika “valjanje” mašinsku obradu metala tehnika “spinovanje” Termička obrada metala),MASINSKA OBRADA METALA,Direktor,Zoran Stakić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,Milutin Gužvić,https://www.linkedin.com/in/milutin-guzvic-60358386,,,22-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU SPOLJNU I UNUTRAŠNJU TRGOVINU ELMAR INTERNATIONAL DOO BEOGRAD,ELMAR INTERNATIONAL DOO BEOGRAD,Molerova 47 11000 BEOGRAD,17243144,100299833,160-0000000206862-96,Društvo sa ograničenom odgovornošću,19.1.2000.,Mašinska obrada metala,011/ 3317-548+381 65 2277 008+381 65 2277 009,, office@elmar-international.com,Preduzece za proizvodnju spoljnu i unutrašnju trgovinu. Proizvodni program preduzeca je izrada i prodaja el.tehnickih proizvoda održavanje i sevisiranje el. mašina aparata i uredjaja iz oblasti električne i dizel vuče :Pored osnovne delatnosti nude i USLUGE:Provera ispitivanje i remont zeleznickih i svih drugih energetskih transformatora;Kompletna merenja i ispitivanja po standardu i izdavanje atesta za elektroenergetsku opremu(transformatora prigusnica razvodnih ormana instalacija kontaktora i prekidaca kao i drugih elektroenergetskih uredjaja);Usluzno ispitivanje i servisi vasih postrojenja kako bi obezbedili njihovu ispravnost dug i pouzdan rad i zadovoljili protivpozarne i druge bezbedonosne zahteve;Usluzna merenja i ispitivanja radi izdavanja upotrebnih dozvola vasih objekata;,MASINSKA OBRADA METALA,Direktor,Stojan Stefanović,,,,Izvrsni direktor,Stevan Jugović,,,jugovic.stevan@open.telekom.rs,Direktor kvaliteta,,,,,Project manager,,,,,06-07-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ELMED ZA PROIZVODNJU TRGOVINU I USLUGE TEMERIN,DOO ELMED TEMERIN,J.N.A. 166 21235 Temerin,08639353,101454709,160-0053400034687-23,Društvo sa ograničenom odgovornošću,17.6.1996.,Montaža industrijskih mašina i opreme,+381 21 84 47 67 +381 21 84 47 87 +381 21 84 47 97,, office@elmedint.com,Kompanija se bavi dostavljenjem integrisanih rešenja za kodiranje etiketiranje i kontrolu proizvoda.PROIZVODI I TEHNOLOGIJE: Kodiranje i markiranjeDigitalna štampaInspekcijski sistemiEtiketiranjeAutomatizacija proizvodnjeAuto IDProizvodnja samolepljivih etiketaProizvodnja opremeRazvoj softverskih rešenjaPakovanjeLogistikaMagnetni separatoriMašinska obrada metala,MASINSKA OBRADA METALA,CEO,Ivan Crnojević,https://www.linkedin.com/in/ivan-crnojevic-572491b,,,Production manager,Dušan Bubalo,https://www.linkedin.com/in/dušan-bubalo-319804197,,,Purchase Specialist,Nenad Kovačević,https://www.linkedin.com/in/nenad-kovacevic-042b0198,,nenad.kovacevic@elmedint.com,Project manager,Bratislav Milojević,https://www.linkedin.com/in/bratislav-milojević-9ab8b5194,,,23-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
EM PROJECT 89 DOO NOVO SELO,EM PROJECT 89 DOO,Reka 40 36216 Novo Selo  VRNJAČKA BANJA,21745944,112818812,205-0000000424857-97,Društvo sa ograničenom odgovornošću,20.12.2021.,Mašinska obrada metala;,+381 36 633340+381 62 632 081,office@emproject89.com,,Bave se projektovanjem konstrukcijama i proizvodnjom mašina za pakovanje od kartona. Proizvode alate i druge delove po zahtevu kupaca.,MASINSKA OBRADA METALA,Founder & General Director,Mladen Vlajković,https://www.linkedin.com/in/mladen-vlajkovic,+381 62 632 081,mvlajkovic89@gmail.com,Menadžer proizvodnje,Željko Vlajković,,,,Sales Director,Ivan Grujović,https://www.linkedin.com/in/ivan-grujovi%C4%87,+381 62 205 543,i.grujovic@emproject89.com,Project manager,Emilija Dunjić,https://www.linkedin.com/in/emilija-dunjić,,,08-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
METAL ENGINEERING PRODUCTION DOO BEOGRAD,EMP DOO BEOGRAD,OSLOBOĐENJA 1 11090 BEOGRAD-RAKOVICA,20662085,106720023,170-0030010575940-65,Društvo sa ograničenom odgovornošću,21.7.2010.,Mašinska obrada metala,+381 11 715 6856+381 64 154 97 18,, office@empbeograd.co.rs,EMP je deo Al Pack grupe . Preduzeće Metal Engineering Production d.o.o. (EMP) se bavi proizvodnjom alata i mašina za prosecanje i duboko izvlačenje za industriju aluminijumske ambalaže kao i proizvodnjom mašina za punjenje mesnih proizvoda. Elektro Motorni Pogoni doo je zastupnik NORD Getriebebau GmbH & Co.Koriste tehnologiju pogonske industrije mehaničkih i elektronskih rešenja. Ponuda uključuje: Reduktore elektromotore frekventne regulatore motor startere i ostalu opremu za decentralizovanu kontrolu pogonom.,MASINSKA OBRADA METALA,Direktor,Lazar Milošević,/lazarmilosevic,,,Sales Manager,Đorđe Gavrilović,https://www.linkedin.com/in/djordje-gavrilovic,,,Direktor kvaliteta,,,,,Project manager,,,,,08-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRAGAN ERIĆ PREDUZETNIK MAŠINSKA OBRADA METALA PROIZVODNJA I PREVOZ ERCOM TRBUŠANI,DRAGAN ERIĆ PREDUZETNIK MAŠINSKA OBRADA METALA PROIZVODNJA I PREVOZ ERCOM TRBUŠANI,TRBUŠANI BB 32205 TRBUŠANI,62240849,103638624,160-0051400188924-12,Preduzetnik,3.9.2010.,Mašinska obrada metala,060/03-92-237032/392-237,kontakt@ercom.rs,,Bave se mašinskom obradom metala i izradom alata za sledeće grane industrije:industrija drvetaindustrija papiraUSLUGE:CNC glodanje Brušenje obimno i ravno.StruganjeCnc plazma,MASINSKA OBRADA METALA,Vlasnik,Dragan Erić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,03-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DUŠAN ANDREJIĆ PR MAŠINSKA OBRADA METALA FABRORUM BOBOVO,DUŠAN ANDREJIĆ PR FABRORUM,BOBOVO 35217 Bobovo,64700448,110169369,205-0071000560701-95,Preduzetnik,4.8.2017.,Mašinska obrada metala,,,,Bave se mašinskom obradom metala.,MASINSKA OBRADA METALA,Vlasnik,Dušan Andrejić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,12-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PROIZVODNI CENTAR FADIP DOO EXPORT-IMPORT BEČEJ,PCFADIP DOO BEČEJ,PETROVOSELSKI PUT 2 21220 Bečej,20797380,107413882,205-0070100438729-83,Društvo sa ograničenom odgovornošću,19.1.2012.,Mašinska obrada metala,+381 (21) 6914-738+381 (63) 530 765,, pcfadipdoo@gmail.com,Bave se proizvodnjom automatskih spojnica priključaka čaura i montažom crevovoda. PROIZVODI:SpojniceČaurePriključci,MASINSKA OBRADA METALA,Direktor, Svetlana Šević,,+381 (63) 530 765,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,08-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Privredno društvo za proizvodnju trgovinu i usluge GLOBAL TEH d.o.o. Gornji Milanovac,GLOBAL TEH d.o.o. Gornji Milanovac,VUKA KARADŽIĆA 54 32300 GORNJI MILANOVAC,20820608,107525551,170-0030014128002-08,Društvo sa ograničenom odgovornošću,18.4.2012.,Mašinska obrada metala,(063) 568 368(065) 444 01 00,, office@global-teh.com,Nude CNC usluge obrade materijala glodanjem struganjem i brušenjem. Bave se mašinskom obradom metalnih delova namenjenih za specifične industriske aplikacijePROIZVODI I TEHNOLOGIJE:Vertikalni obradni centar:mašinsku obradu metala struganjemmašinsku obradu metala glodanjem mašinsku obradu metala brušenjem mašinsku obradu na plazmi sečenje materijala na trakastim testeramaStrugarski obradni centar:CNC StruganjeCNC GlodanjeRezanje materijalaKonvencionalno glodanjeRavno brušenjeObrada na plazmi Mašinska obrada na plazmi,MASINSKA OBRADA METALA,Direktor,Zoran Milenković,,+381 (0) 65 4440100,zoran@global-teh.com,Direktor,Nenad Tolić,,+381 (0) 63 568368,nenad@global-teh.com,Direktor kvaliteta,,,,,Project manager,,,,,27-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PRIVREDNO DRUŠTVO ZA TRGOVINU PROIZVODNJU I USLUGE HDDSURGERY DOO BEOGRAD (NOVI BEOGRAD),HDDSURGERY DOO BEOGRAD,MILUTINA MILANKOVIĆA 33-35 1 2 11070 NOVI BEOGRAD,20755695,107206870,170-0030047657007-53,Društvo sa ograničenom odgovornošću,17.8.2011.,Mašinska obrada metala,+381 11 268 35 26+381 11 4320 333,, ,U ponudi su alati za zamenu glava na različitim vrstama hard diskova alat za zamenu ležaja motora alati za odglavljivanje ležaja motora i drugo.USLUGE:STRUGANJEGLODANJEOBRADA ERODIRANJEMALATI ZA BRIZGANJE PLASTIKEUSLUGA PROJEKTOVANJAMERENJE I KONTROLA KVALITETA,MASINSKA OBRADA METALA,Projektni inženjer,Slobodan Jovanović,,,slobodan.jovanovic@hddsurgery.com,CNC Programmer,Stefan Uscumlic,https://www.linkedin.com/in/stefan-uscumlic,,,Vlasnik,Nikola Radovanović,,,,Project manager,,,,,24-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
IŠTVAN DEKANJ KALAS PR SAMOSTALNA ZANATSKA RADNJA HEFEST ZRENJANIN,HEFEST,Fruškogorska 38 23000 Zrenjanin,62241942,106758388,325-9601500118314-60,Preduzetnik,6.9.2010.,Mašinska obrada metala,064 369 28 38,, pistahorex@yahoo.com,Bavie se uslužnom mašinskom obradom metala i bravarskim radovima.USLUGE:Mašinska obrada (Mašinska obrada se vrši na konvencijalnim mašinama: strugovima glodalicama bušilicama brusilicama raznih veličina prema tehničkim dokumentacijama crtežima i uzorcima)Bravarski poslovi (bravarske radove manjih gabarita: platforme barijere zaštite procesno transportna oprema… Radove obavljamo za auto industriju naftnu industriju metalnu industriju poljoprivredu i druge.)Izrada mašinaRemont mašina (remontom konvencionalnih mašina za metalnu drvoprerađivačku i prehrambenu industriju.),MASINSKA OBRADA METALA,Vlasnik,IŠTVAN DEKANJ KALAS,https://www.linkedin.com/in/dekanj-kalas-ištvan-5a633a85,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,23-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
IGOR DAMJANOVSKI PR METALOGLODAČKA RADNJA HERMAH INĐIJA,IGOR DAMJANOVSKI PR HERMAH,Kamenova 12 22320 Inđija,65933152,112184931,370-0000000037867-21,Preduzetnik,15.10.2020.,Mašinska obrada metala,+381 64 07 14 544,, info@hermah.rs,Bave se izradom alata za gumu alata za livenje plastike alata za štancovanje i savijanje lima uslužnom vulkanizacijom svih vrsta guma kao i mašinskih delova prema dokumentaciji ili uzorku. Nude mašinsku obradu metala i nemetala kroz izradu prototipskih rešenja i serijske proizvodnje korišćenjem CNC glodalica univerzalnih brusilica obradu struganjem i erodiranje sa elektrodom.USLUGE:obrada struganjemobrada glodanjemerodiranje sa elektrodom,MASINSKA OBRADA METALA,Vlasnik,Igor Damjanovski,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,22-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
IDAS DOO ZA PROIZVODNJU TRGOVINU I USLUGE MOL,IDAS DOO MOL,8 .OKTOBRA 37 24435 Mol,20240989,104845575,165-0007007050792-36,Društvo sa ograničenom odgovornošću,9.1.2007.,Proizvodnja ležajeva zupčanika i zupčastih pogonskih elemenata,+381 24 862 102+381 24 862 103,, office@idas-metal.com,Pored proizvodnje i obrade pojedinačnih delova nude uslugu: montažu modula.PROIZVODI: Osovine – vratilaMehanički sklopoviZupčanici  Kućišta ležaja  Reduktori  Precizni delovi za mašinsku industijuTEHNOLOGIJE: Obrada čeličnih limova - Savijanje na valjcimaMašinska obrada metala - Bušenje proširivanje/ Univerzalno proširivanjeMašinska obrada metala - Proizvodnja zupčanikaMašinska obrada metala - Obradni centri CNCMašinska obrada metala - CNC StruganjeMašinska obrada metala - Univerzalno glodanjePROIZVODE ZA:- Farmaceutska industrija- Procesna industrija- Mašinogradnja- Automobilska industrija,MASINSKA OBRADA METALA,Generalni direktor,Jovan Pejić,/jovan-pejic,+381 24 415 6 600+381 646 406 321,office@idas-metal.com,Tehnički direktor, Atila Ferenc,,+381 24 415 6 605+381 646 406 325,atila@idas-metal.com,Menadžer kvaliteta,Aleksandra Vukov,,+381 24 862 102+381 648 232 482,qm@idas-metal.com,Menadžer proizvodnje,Žolt Kenjveš,,+381 24 862 102+381 646 406 323,zsolt@idas-metal.com,LinkedIn
STEVO MARJANOVIĆ PR IZRADA MAŠINSKIH DELOVA IMD - METAL BANJA,IMD - METAL,BANJA 12V 34304 Banja,56783717,103604405,205-0071000607643-16,Preduzetnik,1.1.2005.,Proizvodnja veznih elemenata i vijčanih mašinskih proizvoda,064/366-56-82034/727-472,, imdmetalar@gmail.com,Pruža uslužne izrade mašinskih delova. Nude pojedinačnu tj. maloserijsku i serijsku proizvodnju delova od različitih materijala:-Metala: čelik aluminijum prohrom i dr.-Plastika i dr.USLUGE:CNC glodanjeCNC struganje,MASINSKA OBRADA METALA,Vlasnik,Stevo Marjanović,,063/777-29-68,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,23-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
INDUSTRIJA METALNIH PROIZVODA IMPO DOO DESPOTOVAC,IMPO DOO DESPOTOVAC,9. OKTOBRA BB 35213 DESPOTOVAC,17364758,101360639,205-0070100575106-98,Društvo sa ograničenom odgovornošću,3.12.2001.,Mašinska obrada metala,+381 (0) 35 614 040+381 (0) 63 647 426,, office@impo.co.rs,PROIZVODI:Rešetkasta gazišta (gazišta se upotrebljavaju za pokrivanje platformi mostova podesta kanala za izradu stepeništa u rudarstvu brodogradnji termoelektranama cementarama građevini domaćinstvima...)Kovano gvožđe (Kapije od kovanog gvožđa Dvorišne ograde od kovanog gvožđa Terase od kovanog gvožđa Ograde za stepeništa Nadstrešnice od kovanog gvožđa Prozorske rešetke)Kalem (Presovani kalem Strugarski kalem Metalni doboš)Rezervni delovi za za rudnike cementare kamenolome ciglane (trakaste transportere transportne valjke (rolne) sve delove koji su izloženi habanju od manganskog čelika delove od vatrootpornog čelika.... Izrada delova se izvodi struganjem glodanjem bušenjem brušenjem zavarivanjem..),MASINSKA OBRADA METALA,Vlasnik,Stamenko Obrenović,,,,Mechanical Engineer,Ljubomir Obrenović,/ljubomir-obrenovic,,,Direktor kvaliteta,,,,,Project manager,,,,,08-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
IMPOL SEVAL TEHNIKA DOO SEVOJNO,IMPOL SEVAL TEHNIKA DOO SEVOJNO,Prvomajska bb 31205 SEVOJNO,17618253,103641390,160-0053400035780-42,Društvo sa ograničenom odgovornošću,26.10.2004.,Mašinska obrada metala,+381(0)31 591 100- Impol Seval Valjaonica aluminijuma a. d.+386(0)2 845 3100- Impol 2000 d. d.,, office@impol.rs,USLUGE:Projektuju i proizvode delove sklopove mašine i opremu;Izvodie metalostrugarske metaloglodačke bravarske varilačke zahvate mašinsku obradu na borverku brušenje gumiranih valjaka.Pružaju usluge sečenja savijanja limova i izrade čelicnih konstrukcija;U opremljenoj hidraulicnoj ispitnoj stanici vrše montažu hidrauličnih creva visokog pritiska vrši defektažu i servisiranje svih vrsta hidrauličnih komponenti i opreme savijanje hidrauličnih cevi;Izvode sve vrste elektro mašinskih remonta postojeće i montažu nove opreme i uređaja;Vrše popravke i remonte transportnih uređaja (dizalica motornih vozila i viljuškara) bravarske električarske vodoinstalaterske građevinske i druge zanatske radove.PROIZVODE ZA:AUTOMOBILSKU INDUSTRIJUPREHRAMBENU INDUSTRIJUFARMACEUTSKU INDUSTRIJUTRANSPORTNU INDUSTRIJUELEKTROINDUSTRIJUGRAĐEVINARSTVOKontakti za tržišta Evrope:Snežana TešićT:+38131591123E: snezana.tesic@impol.rsNemanja RosićT:+38131591128E: nemanja.rosic@impol.rsVanja BrkićT:+38131591127E: vanja.brkic@impol.rsMilutin MirjačićT:+38131591176E: milutin.mirjacic@impol.rs,MASINSKA OBRADA METALA,Direktor,Milan Ðoković,,,milan.djokovic@impol.rs,Generalni direktor, Ninko Tešić,,,,Direktor Sektora kvaliteta, Dragan Jovanović,,,,Project Manager,Spasoje Toskić,/spasoje-toskić,,,08-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
